age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
27,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,India,>50K
64,Private,HS-grad,Widowed,Adm-clerical,Unmarried,Female,United-States,<=50K
49,Private,11th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
37,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
36,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
30,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
29,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
33,Private,Assoc-acdm,Divorced,Sales,Not-in-family,Female,United-States,<=50K
58,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
21,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
28,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,Male,United-States,<=50K
63,Private,10th,Separated,Other-service,Unmarried,Female,United-States,<=50K
28,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
29,Private,11th,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
31,Self-emp-not-inc,HS-grad,Never-married,Other-service,Own-child,Female,United-States,<=50K
38,State-gov,Assoc-voc,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
26,Private,Bachelors,Never-married,Sales,Not-in-family,Female,United-States,<=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Male,United-States,<=50K
23,Private,11th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
43,Self-emp-not-inc,Some-college,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
31,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
53,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
55,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
29,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Female,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
57,Private,Some-college,Widowed,Adm-clerical,Unmarried,Female,United-States,>50K
43,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
37,Private,12th,Divorced,Craft-repair,Own-child,Male,United-States,<=50K
25,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
35,Private,HS-grad,Never-married,Sales,Not-in-family,Male,United-States,<=50K
43,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
45,Private,HS-grad,Married-civ-spouse,Sales,Wife,Female,United-States,<=50K
19,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
43,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Male,Mexico,<=50K
40,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
46,Self-emp-inc,Masters,Divorced,Sales,Not-in-family,Male,United-States,>50K
46,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
38,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
29,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
34,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
54,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
41,State-gov,Some-college,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
20,Private,12th,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
33,Private,Some-college,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
26,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
19,Self-emp-not-inc,Some-college,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
40,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
44,Private,Bachelors,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
46,Local-gov,HS-grad,Never-married,Other-service,Unmarried,Female,United-States,<=50K
42,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
71,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
22,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Male,United-States,>50K
44,Private,HS-grad,Divorced,Sales,Not-in-family,Male,United-States,>50K
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
49,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
29,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
52,Private,Bachelors,Divorced,Prof-specialty,Unmarried,Female,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
66,Private,10th,Widowed,Other-service,Unmarried,Female,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,Male,United-States,>50K
30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
29,Private,11th,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
76,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
51,Private,HS-grad,Divorced,Sales,Unmarried,Male,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
76,Private,10th,Widowed,Sales,Unmarried,Female,United-States,<=50K
25,Private,9th,Never-married,Machine-op-inspct,Other-relative,Male,Mexico,<=50K
58,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
39,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
33,Private,Some-college,Never-married,Sales,Not-in-family,Female,United-States,<=50K
28,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
23,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,<=50K
44,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
58,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
48,Private,HS-grad,Divorced,Transport-moving,Not-in-family,Male,United-States,<=50K
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
67,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,Male,United-States,>50K
19,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
18,Private,HS-grad,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
45,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
45,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
48,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Female,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
44,Self-emp-inc,Some-college,Divorced,Other-service,Unmarried,Male,United-States,<=50K
66,Self-emp-not-inc,7th-8th,Widowed,Farming-fishing,Unmarried,Male,United-States,<=50K
20,Private,HS-grad,Married-civ-spouse,Sales,Own-child,Male,United-States,<=50K
46,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
